Layer,Competitor,Website,Pricing_Entry_USD,Pricing_Mid_USD,Pricing_Top_USD,Mod_Differentiation,Mod_Marketing,Mod_Sales,Mod_Pricing,Mod_Retention,AI_Copy_Hebrew,Meta_Ads_Integration,CRM_Depth_1to5,Feedback_Loop,Behavioral_Science,MOAT_Asset,ICP_Size,Hebrew_RTL,Israel_Presence,AI_Models,Glass_Box,Top_Wedge_For_FunnelForge
L1,HighLevel (GoHighLevel),https://www.gohighlevel.com,97,297,497,none,full,full,none,partial,poor (RTL half-broken),actionable native,4,dashboard-only,no,distribution+switching costs (agency channel),SMB+agencies,partial (RTL incomplete),diaspora-only,GPT-5/4o multi-model,no,Hebrew RTL + Differentiation/Pricing modules
L1,ActiveCampaign,https://www.activecampaign.com,15,79,145,none,full,partial,none,partial,poor (translated only),sync-only no creation,3,partial (Predictive Sending only),no,data network + brand (145K customers),SMB→Mid,partial (email RTL only),none direct,Active Intelligence (undisclosed) + ML,partial,Native Meta Ads creation + Hebrew UI + price stability
L1,Keap (Thryv-owned),https://keap.com,129,199,custom,none,full,full,none,partial,none documented,none (Zapier only),4,no,no,switching costs + brand legacy (declining),SMB,none,diaspora-only,undisclosed (likely OpenAI),no,Native Meta Ads + transparent billing + closed-loop AI
L2,HubSpot,https://www.hubspot.com,15,100,150 (10-seat min),none,full,full,none,partial,poor (RTL broken in CRM editor),actionable native,5,dashboard-only (Breeze agents emerging),no,ecosystem+brand+data network (288K customers),SMB-Mid-Ent,partial (broken in CRM),partner channel (no subsidiary),GPT-4o + Claude + Stability,limited (model cards only),Hebrew-native everything + behavioral productization + price fit
L2,Monday CRM (monday.com),https://monday.com/crm,12,28,custom,none,partial,full,none,partial,poor,read-only via integrations,3,dashboard-only,no,brand+distribution+ecosystem ($1.23B revenue),SMB-Mid-Ent,partial (Israeli HQ but Hebrew weak),active local team (Tel Aviv HQ),OpenAI undisclosed,none disclosed,Real Hebrew-first + CRM depth + solo/1-3 employee fit
L2,Pipedrive,https://www.pipedrive.com,14,49,79,none,partial,full,none,partial,poor (broken email RTL),read-only via marketplace,4,predictive only,no,brand + sales-team switching costs,SMB,partial (community Chrome ext for Hebrew),partner-only (2gtr.pro Elite),GPT + DALL-E + internal ML,partial,Native Hebrew RTL + Marketing/Pricing/Retention breadth + behavioral pipeline scoring
L2,Powerlink (Fireberry),https://www.powerlink.co.il,0,35,75,none,partial-full,full,none,partial,yes (Hebrew-native AI),read-only / shallow,4,partial (AI Journeys),no,distribution+brand in Israel+switching costs,SMB-Mid,native (only one of 4),active local team (HQ Tel Aviv since 1997),undisclosed (likely OpenAI),none disclosed,Behavioral science depth + native Meta Ads + closed-loop self-correction + solo SMB price
L3,Jasper.ai,https://www.jasper.ai,39,59,800-2500 (custom),none,partial (copy only),none,none,none,poor (translated only),none (templates only),0,no,partial (AIDA/PAS templates),brand + distribution (commoditizing),Mid-market+Enterprise,poor (RTL bugs),none direct,GPT-4 + Claude + Gemini + Brain fine-tunes,no,Hebrew-native quality + outcome-bound copy + bundled CRM+Ads
L3,Copy.ai,https://www.copy.ai,49,249,custom,none,partial (copy + workflows),partial (GTM),none,none,weak (95+ langs but no Hebrew focus),none,1,no (deterministic chains),no (AIDA/PAS prompts),workflows + GTM positioning,Mid+B2B sales,poor,none,GPT-4o + Claude + Gemini multi-router,partial (workflow logs),B2C SMB focus + outcome-bound copy + Hebrew RTL native
L3,Madgicx,https://www.madgicx.com,59,109,209+,none,partial (creative+copy),none,none,none,mediocre (no Hebrew focus despite Israeli team),full actionable (deepest in market),0,strong (ads-only loop),partial (audience clustering),data network + Meta partnership ($2B+ ad spend),SMB-Mid e-com+agencies,none (Israeli HQ but English-only product),HQ Tel Aviv (~100 employees) but ignores Israel,proprietary bidding + GPT-4o + CV models,partial (shows what+metric),Hebrew + Israeli SMB market they ignored + CRM-as-Platform + behavioral archetypes
L3,Klaviyo,https://www.klaviyo.com,45,100,1380+,none,full (email/SMS),partial (CDP),none,partial,poor (English-first),audience sync only,3 (marketing CRM),strong (predictive analytics),limited (data-science not behavioral),data network + Shopify ecosystem (167K customers),DTC e-com $1M-$50M GMV,none,none,GPT-4 + in-house ML,partial,Hebrew-native CRM+ads+copy bundle + price + non-e-com fit
L3,AdCreative.ai,https://www.adcreative.ai,39,109,249,none,partial (creative+light copy),none,none,none,mediocre,one-click publish (surface),0,partial (creative scoring vs dataset),minimal (pattern-matching),trained creative-scoring model,Performance marketers+DTC+agencies,none,none,GPT-4 + Stable Diffusion + scoring model,partial,Full funnel not just creative + Hebrew creative + behavioral scoring
L4,Israeli Digital Agencies,N/A (services),1400 (~₪5K/mo),2300 (~₪8K/mo),22000+ (~₪80K/mo),partial (strategy),full,partial,partial (advise only),partial,native (humans),manual,N/A,manual,implicit (consultant knowledge),cultural fit + relationships,SMB-Mid Israeli,native,native (this IS the Israeli market),N/A,N/A,Cost (32-50x cheaper) + data ownership + speed + transparency
L4,Israeli Marketing Consultants,N/A (services),1100 (~₪4K/mo),1700 (~₪6K/mo),11000+ (~₪40K project),full (strategy),partial (advise),partial (advise),partial (advise),partial (advise),native (humans),manual,N/A,manual,implicit,cultural fit + vertical depth,SMB Israeli,native,native,N/A,N/A,No execution + not scalable + behavioral science productized
L4,Hebrew Freelance Copywriters (Fiverr/Upwork/XPlace),N/A (gig),22 (₪80/gig),100 (₪400/gig),420+ (₪1500/landing),none,partial (copy only),none,none,none,native (humans),none,N/A,none,implicit,cultural fit (when good),SMB,native,native,N/A,N/A,Vetting cost + no system + no data feedback + scale
L5,DIY Status Quo (Excel+Canva+ChatGPT+Meta),N/A (stack),55 (~₪200/mo),55 (~₪200/mo),55 (~₪200/mo),none,partial (manual),none (Excel),none,none,medium (translated ChatGPT Hebrew),manual (Meta Ads Manager native),0,manual,none,zero,solo+micro SMB,broken in Canva,native,N/A,N/A,Time savings (8-15hr→1-2hr/wk) + integrated attribution + Hebrew-native AI + no lead leakage
